Name,Team,CoI
Karim Mane,ORL,Senegal
Frank Mangiapane,NYK,USA
Marcus Mann,GSW,USA
Terance Mann,LAC,USA
Tre Mann,CHA,USA
Danny Manning,LAC,USA
Ed Manning,WAS,USA
Richard Manning,MEM,USA
Nico Mannion,GSW,Italy
Pace Mannion,UTA,USA
Nick Mantis,WAS,USA
Pete Maravich,UTA,USA
Peter Maravich,NONE,USA
Devyn Marble,ORL,USA
Roy Marble,ATL,USA
Stephon Marbury,NYK,USA
Sarunas Marciulionis,CLE,Lithuania
Saul Mariaschin,BOS,USA
Jack Marin,WAS,USA
Shawn Marion,PHX,USA
Boban Marjanovic,HOU,Serbia
Lauri Markkanen,UTA,Finland
Damir Markota,MIL,Croatia
Sean Marks,NOP,New Zealand
Harvey Marlatt,DET,USA
Eric Marsh,GSW,USA
Jim Marsh,POR,USA
Donny Marshall,CLE,USA
Donyell Marshall,GSW,USA
Kendall Marshall,LAL,USA
Naji Marshall,NOP,USA
Rawle Marshall,IND,USA
Tom Marshall,SAC,USA
Vester Marshall,OKC,USA
Bill Martin,IND,USA
Bob Martin,LAC,USA
Brian Martin,POR,USA
Caleb Martin,MIA,USA
Cartier Martin,WAS,USA
Cody Martin,CHA,USA
Cuonzo Martin,MEM,USA
Darrick Martin,LAC,USA
Don Martin,NONE,USA
Donald Martin,NONE,USA
Fernando Martin,POR,Spain
Jarell Martin,MEM,USA
Jaylen Martin,BKN,USA
Jeff Martin,LAC,USA
Jeremiah Martin,CLE,USA
KJ Martin,PHI,USA
Kelan Martin,NOP,USA
Kenyon Martin,DEN,USA
Kevin Martin,SAC,USA
Larue Martin,POR,USA
Mo Martin,DEN,USA
Phil Martin,ATL,USA
Ronald Martin,NYK,USA
Slater Martin,LAL,USA
Tyrese Martin,MIN,USA
Jamal Mashburn,DAL,USA
Al Masino,ATL,USA
Anthony Mason,NYK,USA
Desmond Mason,MIL,USA
Frank Mason III,SAC,USA
Roger Mason Jr.,WAS,USA
Tony Massenburg,MEM,USA
Eddie Mast,NYK,USA
Yante Maten,MIA,USA
Garrison Mathews,ATL,USA
Mangok Mathiang,CHA,Australia
Dakota Mathias,MEM,USA
Bennedict Mathurin,IND,Canada
Wes Matthews,ATL,USA
Wesley Matthews,ATL,USA
Ariel Maughan,NONE,USA
Marlon Maxey,MIN,USA
Tyrese Maxey,PHI,USA
Jason Maxiell,DET,USA
Cedric Maxwell,BOS,USA
Vernon Maxwell,HOU,USA
Don May,ATL,USA
Scott May,CHI,USA
Sean May,CHA,USA
Lee Mayberry,MIL,USA
Clyde Mayes,MIL,USA
Tharon Mayes,PHI,USA
Bill Mayfield,GSW,USA
Ken Mayfield,NYK,USA
Eric Maynor,OKC,USA
O.J. Mayo,MEM,USA
Skylar Mays,LAL,USA
Travis Mays,SAC,USA
Matt Mazza,NONE,USA
Luc Mbah a Moute,MIL,Cameroon
DJ Mbenga,LAL,Belgium
Bob McAdoo,LAC,USA
James Michael McAdoo,GSW,USA
Ken McBride,ATL,USA
Miles McBride,NYK,USA
Tahjere McCall,BKN,USA
Ray McCallum,SAC,USA
Bob McCann,MIN,USA
Brendan McCann,NYK,USA
Mel McCants,LAL,USA
Rashad McCants,MIN,USA
Mike McCarron,NONE,USA
Andre McCarter,SAC,USA
Willie McCarter,LAL,USA
Johnny McCarthy,ATL,USA
Howie McCarty,NONE,USA
Kelly McCarty,DEN,USA
Walter McCarty,BOS,USA
Amal McCaskill,PHI,USA
Patrick McCaw,TOR,USA
Dwayne McClain,IND,USA
"Ted, Hound Dog McClain",DEN,USA
Dan McClintock,DEN,USA
Jack McCloskey,GSW,USA
George McCloud,IND,USA
Mac McClung,ORL,USA
CJ McCollum,NOP,USA
John McConathy,ATL,USA
Paul McConnell,ATL,USA
T.J. McConnell,IND,USA
Keith McCord,WAS,USA
Tim McCormick,OKC,USA
Jelani McCoy,OKC,USA
Paul McCracken,HOU,USA
Chris McCray,MIL,USA
Rodney McCray,HOU,USA
Scooter McCray,OKC,USA
Erik McCree,UTA,USA
Chris McCullough,BKN,USA
John McCullough,PHX,USA
Clint McDaniel,SAC,USA
Xavier McDaniel,OKC,USA
Jaden McDaniels,MIN,USA
Jalen McDaniels,TOR,USA
Jim McDaniels,OKC,USA
KJ McDaniels,HOU,USA
Doug McDermott,IND,USA
Sean McDermott,MEM,USA
Ben McDonald,GSW,USA
Glenn McDonald,BOS,USA
Michael McDonald,CHA,USA
Hank McDowell,LAC,USA
Antonio McDyess,DET,USA
Jim McElroy,UTA,USA
Ivan McFarlin,PHI,USA
Mel McGaha,NYK,USA
Mitch McGary,OKC,USA
JaVale McGee,SAC,USA
Mike McGee,LAL,USA
Bill McGill,NYK,USA
George McGinnis,PHI,USA
Jon McGlocklin,MIL,USA
Bryce McGowens,CHA,USA
Tracy McGrady,HOU,USA
Gil McGregor,SAC,USA
Cameron McGriff,POR,USA
Rodney McGruder,GSW,USA
Al McGuire,NYK,USA
Allie McGuire,NYK,USA
Dick McGuire,NYK,USA
Dominic McGuire,WAS,USA
Kevin McHale,BOS,USA
Jim McIlvaine,OKC,USA
Jeff McInnis,LAC,USA
Kenny McIntosh,OKC,USA
Kevin McKenna,BKN,USA
Forrest McKenzie,SAS,USA
Stan McKenzie,POR,USA
Derrick McKey,IND,USA
Aaron McKie,PHI,USA
Billy McKinney,DEN,USA
Carlton McKinney,LAC,USA
Horace McKinney,NONE,USA
Trey McKinney-Jones,IND,USA
Alfonzo McKinnie,CHI,USA
JaQuori McLaughlin,DAL,USA
Jordan McLaughlin,MIN,USA
Ben McLemore,POR,USA
Mccoy McLemore,GSW,USA
George McLeod,NONE,USA
Keith McLeod,UTA,USA
Roshown McLeod,ATL,USA
Jack McMahon,ATL,USA
Nate McMillan,OKC,USA
Tom McMillen,ATL,USA
Jim McMillian,LAL,USA
Shellie McMillon,DET,USA
Mal McMullan,NONE,USA
Chet McNabb,NONE,USA
Mark McNamara,PHI,USA
Joe McNamee,SAC,USA
Jerel McNeal,PHX,USA
Chris McNealy,NYK,USA
Bob McNeill,NYK,USA
Larry McNeill,SAC,USA
Carl McNulty,ATL,USA
Paul McPherson,PHX,USA
Cozell McQueen,DET,USA
Jordan McRae,WAS,USA
Thales McReynolds,WAS,USA
Josh McRoberts,IND,USA
Eric McWilliams,HOU,USA
George Mearns,NONE,USA
Slava Medvedenko,LAL,Ukraine
Darnell Mee,DEN,USA
Jodie Meeks,PHI,USA
Cliff Meely,HOU,USA
Scott Meents,OKC,USA
Dick Mehen,DET,USA
Don Meineke,DET,USA
Carl Meinhold,NONE,USA
Salah Mejri,DAL,Tunisia
Gal Mekel,DAL,Israel
Bill Melchionni,PHI,USA
Gary Melchionni,PHX,USA
Nicolo Melli,NOP,Italy
Fab Melo,BOS,Brazil
De'Anthony Melton,PHI,USA
Ed Melvin,NONE,USA
Dean Meminger,NYK,USA
Chuck Mencel,LAL,USA
John Mengelt,DET,USA
Ken Menke,NONE,USA
Nathan Mensah,CHA,Ghana
Pops Mensah-Bonsu,TOR,USA
Ron Mercer,BOS,USA
Joe Meriweather,SAC,USA
Porter Meriwether,PHI,USA
Sam Merrill,CLE,USA
Tom Meschery,GSW,USA
Chimezie Metu,PHX,USA
Loren Meyer,DAL,USA
Dave Meyers,MIL,USA
Stan Miasek,NONE,USA
Larry Micheaux,HOU,USA
Vasilije Micic,CHA,Serbia
Jordan Mickey,BOS,USA
Khris Middleton,MIL,USA
Zigmund Mihalik,NONE,USA
Chris Mihm,CLE,USA
Eric Mika,SAC,USA
Ed Mikan,GSW,USA
George Mikan,LAL,USA
Larry Mikan,CLE,USA
Vern Mikkelsen,LAL,USA
Al Miksis,NONE,USA
Aaron Miles,GSW,USA
CJ Miles,BOS,USA
Darius Miles,LAC,USA
Eddie Miles,DET,USA
Marko Milic,PHX,Slovenia
Darko Milicic,MEM,Serbia
Nat Militzok,NYK,USA
Andre Miller,DEN,USA
Anthony Miller,LAL,USA
Bill Miller,NONE,USA
Bob Miller,SAS,USA
Brad Miller,SAC,USA
Brandon Miller,CHA,USA
Darius Miller,NOP,USA
Dick Miller,IND,USA
Eddie Miller,NONE,USA
Harry Miller,NONE,USA
Jay Miller,ATL,USA
Jordan Miller,LAC,USA
Leonard Miller,MIN,Canada
Malcolm Miller,TOR,USA
Mike Miller,MEM,USA
Oliver Miller,PHX,USA
Quincy Miller,DEN,USA
Reggie Miller,IND,USA
Walt Miller,NONE,USA
Chris Mills,CLE,USA
John Mills,NONE,USA
Patty Mills,MIA,Australia
Terry Mills,DET,USA
Elijah Millsap,UTA,USA
Paul Millsap,PHI,USA
Shake Milton,NYK,USA
Justin Minaya,POR,USA
Harold Miner,MIA,USA
Dirk Minniefield,CLE,USA
Dave Minor,ATL,USA
Greg Minor,BOS,USA
Mark Minor,BOS,USA
Josh Minott,MIN,USA
Nikola Mirotic,CHI,Montenegro
Wat Misaka,NYK,USA
Jason Miskiri,CHA,USA
Davion Mitchell,SAC,USA
Donovan Mitchell,CLE,USA
Mike Mitchell,SAS,USA
Murray Mitchell,NONE,USA
Sam Mitchell,MIN,USA
Todd Mitchell,MIA,USA
Tony Mitchell,MIL,USA
Tony Mitchell,DET,USA
Naz Mitrou-Long,UTA,Canada
Steve Mix,PHI,USA
Bill Mlkvy,GSW,USA
Cuttino Mobley,HOU,USA
Eric Mobley,MEM,USA
Evan Mobley,CLE,USA
Isaiah Mobley,CLE,USA
Larry Moffett,HOU,USA
Leo Mogus,GSW,USA
Nazr Mohammed,CHA,USA
Jerome Moiso,NOP,France
Paul Mokeski,MIL,USA
Adam Mokoka,CHI,France
Jack Molinas,DET,USA
Wayne Molis,NYK,USA
Sidney Moncrief,MIL,USA
Chima Moneke,SAC,Nigeria
Eric Money,DET,USA
Sergei Monia,POR,Russia
Malik Monk,SAC,USA
Earl Monroe,NYK,USA
Greg Monroe,MIN,USA
Rodney Monroe,ATL,USA
Luis Montero,POR,Dominican Republic
Howie Montgomery,GSW,USA
Eric Montross,DET,USA
Moses Moody,GSW,USA
Jamario Moon,TOR,USA
Xavier Moon,LAC,USA
Jim Mooney,GSW,USA
Matt Mooney,NYK,USA
Andre Moore,DEN,USA
Ben Moore,IND,USA
E'Twaun Moore,ORL,USA
Jackie Moore,GSW,USA
Johnny Moore,SAS,USA
Lowes Moore,BKN,USA
Mikki Moore,DET,USA
Otto Moore,DET,USA
Ron Moore,DET,USA
Taze Moore,POR,USA
Tracy Moore,DAL,USA
Wendell Moore Jr.,MIN,USA
Ja Morant,MEM,USA
Eric Moreland,DET,USA
Jackie Moreland,DET,USA
Guy Morgan,IND,USA
Juwan Morgan,LAC,USA
Rex Morgan,BOS,USA
Elmo Morgenthaler,GSW,USA
Darren Morningstar,DAL,USA
Chris Morris,BKN,USA
Darius Morris,LAL,USA
Isaiah Morris,DET,USA
Jaylen Morris,SAS,USA
Markieff Morris,DAL,USA
Max Morris,NONE,USA
Monte Morris,MIN,USA
Randolph Morris,ATL,USA
Terence Morris,HOU,USA
Marcus Morris Sr.,CLE,USA
Adam Morrison,CHA,USA
Dwight Morrison,BOS,USA
Mike Morrison,PHX,USA
Anthony Morrow,OKC,USA
Dwayne Morton,GSW,USA
John Morton,CLE,USA
Richard Morton,IND,USA
Glenn Mosley,SAS,USA
Perry Moss,GSW,USA
Lawrence Moten,MEM,USA
Donatas Motiejunas,HOU,Lithuania
Johnathan Motley,LAC,USA
Hanno Mottola,ATL,Finland
Arnett Moultrie,PHI,USA
Alonzo Mourning,MIA,USA
Timofey Mozgov,DEN,Russia
Chuck Mrazovich,NONE,USA
Emmanuel Mudiay,SAC,Democratic Republic of the Congo
Erwin Mueller,DET,USA
Shabazz Muhammad,MIN,USA
Mychal Mulder,MEM,Canada
Joe Mullaney,BOS,USA
Bob Mullens,NONE,USA
Byron Mullens,CHA,USA
Chris Mullin,GSW,USA
Jeff Mullins,GSW,USA
Todd Mundt,ATL,USA
Xavier Munford,MEM,USA
Chris Munk,UTA,USA
George Munroe,NONE,USA
Eric Murdock,MIL,USA
Gheorghe Muresan,WAS,Romania
Ade Murkey,SAC,USA
Allen Murphy,LAL,USA
Calvin Murphy,HOU,USA
Dick Murphy,NYK,USA
Erik Murphy,CHI,Finland
Jay Murphy,LAC,USA
John Murphy,GSW,USA
Kevin Murphy,UTA,USA
Ronnie Murphy,POR,USA
Tod Murphy,MIN,USA
Troy Murphy,GSW,USA
Trey Murphy III,NOP,USA
Dejounte Murray,ATL,USA
Flip Murray,OKC,USA
Jamal Murray,DEN,Canada
Keegan Murray,SAC,USA
Ken Murray,DET,USA
Kris Murray,POR,USA
Lamond Murray,LAC,USA
Tracy Murray,WAS,USA
Dorie Murrey,OKC,USA
Toure' Murry,NYK,USA
Dzanan Musa,BKN,Bosnia and Herzegovina
Mike Muscala,OKC,USA
Angelo Musi,GSW,USA
Jerrod Mustaf,PHX,USA
Dikembe Mutombo,DEN,Congo
Martin Muursepp,DAL,Estonia
Pete Myers,CHI,USA
Svi Mykhailiuk,BOS,Ukraine
Makhtar N'diaye,MEM,Senegal
Makhtar N'diaye,MEM,
Mamadou N'diaye,TOR,Senegal
Bob Naber,NONE,USA
Boris Nachamkin,SAC,USA
Bostjan Nachbar,BKN,Slovenia
Abdel Nader,PHX,Egypt
Jerry Nagel,DET,USA
Fred Nagy,NONE,USA
Lee Nailon,CHA,USA
Eduardo Najera,DEN,Mexico
Larry Nance,PHX,USA
Pete Nance,CLE,USA
Larry Nance Jr.,NOP,USA
Shabazz Napier,POR,USA
Paul Napolitano,NONE,USA
Bob Nash,SAC,USA
Charles Nash,LAL,USA
Steve Nash,PHX,Canada
Swen Nater,LAC,USA
Howard Nathan,ATL,USA
Calvin Natt,POR,USA
Kenny Natt,UTA,USA
Willie Naulls,NYK,USA
Juan Carlos Navarro,MEM,Spain
Hamady Ndiaye,WAS,Senegal
Boniface Ndong,LAC,Senegal
Maurice Ndour,NYK,Senegal
Craig Neal,MIA,USA
Gary Neal,SAS,USA
Jim Neal,PHI,USA
Lloyd Neal,POR,USA
Ed Nealy,SAC,USA
Nemanja Nedovic,GSW,Serbia
Al Negratti,NONE,USA
Barry Nelson,MIL,USA
DeMarcus Nelson,GSW,USA
Don Nelson,BOS,USA
Jameer Nelson,ORL,USA
Louie Nelson,UTA,USA
Andrew Nembhard,IND,Canada
Ruben Nembhard,UTA,USA
RJ Nembhard Jr.,CLE,USA
Tyrone Nesby,LAC,USA
Aaron Nesmith,IND,USA
Martin Nessley,LAC,USA
Rasho Nesterovic,MIN,Slovenia
Raul Neto,CLE,Brazil
Johnny Neumann,LAL,USA
Paul Neumann,PHI,USA
Chuck Nevitt,DET,USA
Melvin Newbern,DET,USA
Ivano Newbill,ATL,USA
Ira Newble,CLE,USA
Mike Newlin,HOU,USA
Johnny Newman,MIL,USA
Malik Newman,CLE,USA
Dave Newmark,CHI,USA
Georges Niang,CLE,USA
Demetris Nichols,CHI,USA
Jack Nichols,BOS,USA
Andrew Nicholson,ORL,Canada
Gaylon Nickerson,SAS,USA
Carl Nicks,UTA,USA
Rich Niemann,MIL,USA
John Niemiera,DET,USA
Mike Niles,PHX,USA
Kurt Nimphius,DAL,USA
Daishen Nix,MIN,USA
Dyron Nix,IND,USA
Norm Nixon,LAL,USA
Zeke Nnaji,DEN,USA
Joakim Noah,CHI,USA
Chuck Noble,DET,USA
Andres Nocioni,CHI,Argentina
David Noel,MIL,USA
Nerlens Noel,BKN,USA
Paul Noel,NYK,USA
Lucas Nogueira,TOR,Brazil
Jim Nolan,GSW,USA
Paul Nolen,NONE,USA
Jeff Nordgaard,MIL,USA
Robert Nordmann,ATL,USA
Johnny Norlander,NONE,USA
Connie Norman,PHI,USA
Ken Norman,LAC,USA
Audie Norris,POR,USA
Moochie Norris,HOU,USA
Sylvester Norris,SAS,USA
Zach Norvell Jr.,GSW,USA
Willie Norwood,DET,USA
George Nostrand,NONE,USA
Stan Noszka,NONE,USA
Mike Novak,SAC,USA
Steve Novak,NYK,USA
Jaylen Nowell,MEM,USA
Markquis Nowell,TOR,USA
Mel Nowell,WAS,USA
Dirk Nowitzki,DAL,Germany
Frank Ntilikina,CHA,France
Kendrick Nunn,WAS,USA
James Nunnally,PHI,USA
Jusuf Nurkic,PHX,Bosnia and Herzegovina
Dennis Nutt,DAL,USA
David Nwaba,OKC,USA
Jordan Nwora,TOR,USA
Julius Nwosu,SAS,USA
Charles O'Bannon,DET,USA
Ed O'Bannon,BKN,USA
John O'Boyle,ATL,USA
Bob O'Brien,GSW,USA
Buckshot O'Brien,NONE,USA
JJ O'Brien,UTA,USA
Patrick O'Bryant,GSW,USA
Johnny O'Bryant III,MIL,USA
Dermie O'Connell,BOS,USA
Andy O'Donnell,NONE,USA
Francis O'Grady,NONE,USA
Dick O'Keefe,NONE,USA
Tommy O'Keefe,WAS,USA
Mike O'Koren,BKN,USA
Grady O'Malley,ATL,USA
Jermaine O'Neal,IND,USA
Shaquille O'Neal,LAL,USA
Royce O'Neale,PHX,USA
Mike O'Neill,ATL,USA
Kyle O'Quinn,NYK,USA
Kevin O'Shea,NONE,USA
Garland O'Shields,NONE,USA
Dan O'Sullivan,UTA,USA
Charles Oakley,NYK,USA
Fabricio Oberto,SAS,Argentina
Daniel Ochefu,WAS,USA
Greg Oden,POR,USA
Lamar Odom,LAL,USA
Carlos Ogden,PHI,USA
Ralph Ogden,GSW,USA
Alan Ogg,MIA,USA
Don Ohl,DET,USA
Tim Ohlbrecht,HOU,Germany
Semi Ojeleye,LAC,USA
Emeka Okafor,CHA,USA
Jahlil Okafor,PHI,USA
Chuma Okeke,ORL,USA
Elie Okobo,PHX,France
Josh Okogie,PHX,Nigeria
Onyeka Okongwu,ATL,USA
Isaac Okoro,CLE,USA
KZ Okpala,SAC,USA
Mehmet Okur,UTA,Turkey
Victor Oladipo,MIA,USA
Hakeem Olajuwon,HOU,Nigeria
Mark Olberding,SAS,USA
Jawann Oldham,CHI,USA
Johnny Oldham,DET,USA
Frank Oleynick,OKC,USA
John Olive,LAC,USA
Brian Oliver,PHI,USA
Cameron Oliver,ATL,USA
Dean Oliver,GSW,USA
Jimmy Oliver,BOS,USA
Kevin Ollie,PHI,USA
Gene Ollrich,NONE,USA
Michael Olowokandi,LAC,Nigeria
Enoch Olsen,SAC,USA
Kelly Olynyk,TOR,Canada
Eugene Omoruyi,WAS,Nigeria
Miye Oni,UTA,USA
Arinze Onuaku,ORL,USA
Chinanu Onuaku,HOU,USA
Barry Orms,WAS,USA
Johnny Orr,NONE,USA
Louis Orr,NYK,USA
Jose Ortiz,UTA,USA
Daniel Orton,PHI,USA
Chuck Osborne,PHI,USA
Cedi Osman,SAS,Turkey
Wally Osterkorn,PHI,USA
Greg Ostertag,UTA,USA
Matt Othick,SAS,USA
Don Otten,ATL,USA
Mac Otten,NONE,USA
Daniel Oturu,TOR,USA
Kelly Oubre Jr.,PHI,USA
Bo Outlaw,ORL,USA
Travis Outlaw,POR,USA
Claude Overton,GSW,USA
Doug Overton,WAS,USA
Andre Owens,IND,USA
Billy Owens,GSW,USA
Chris Owens,MEM,USA
Eddie Owens,LAC,USA
James Owens,ATL,USA
Jim Owens,PHX,USA
Keith Owens,LAL,USA
Larry Owens,BKN,USA
Tariq Owens,PHX,USA
Tom Owens,POR,USA
Ray Owes,GSW,USA
Olumide Oyedeji,OKC,Nigeria
Joe Pace,WAS,USA
Zaza Pachulia,ATL,Georgia
Robert Pack,DEN,USA
Gerald Paddio,CLE,USA
Scott Padgett,UTA,USA
Jaysean Paige,DET,USA
Marcus Paige,CHA,USA
Fred Paine,NONE,USA
Milt Palacio,TOR,Belize
Togo Palazzi,PHI,USA
Jim Palmer,NYK,USA
John Palmer,NYK,USA
Trayvon Palmer,DET,USA
Walter Palmer,UTA,USA
Kevin Pangos,CLE,Canada
Andy Panko,ATL,USA
Georgios Papagiannis,SAC,Greece
Kostas Papanikolaou,HOU,Greece
Jannero Pargo,CHI,USA
Jeremy Pargo,MEM,USA
Estes Parham,NONE,USA
Robert Parish,BOS,USA
Medford Park,ATL,USA
Anthony Parker,TOR,USA
Jabari Parker,BOS,USA
Smush Parker,LAL,USA
Sonny Parker,GSW,USA
Tony Parker,SAS,France
Jack Parkinson,NONE,USA
Cherokee Parks,MIN,USA
Jack Parr,SAC,USA
Doyle Parrack,NONE,USA
Charlie Parsley,GSW,USA
Chandler Parsons,HOU,USA
Eric Paschall,MIN,USA
Anzejs Pasecniks,WAS,Latvia
Zarko Paspalj,SAS,Serbia
Marty Passaglia,NONE,USA
George A. Pastushok,NONE,USA
Myles Patrick,LAL,USA
Stan Patrick,NONE,USA
Andrae Patterson,MIN,USA
George Patterson,DET,USA
Lamar Patterson,ATL,USA
Patrick Patterson,TOR,USA
Ruben Patterson,POR,USA
Steve Patterson,CLE,USA
Tommy Patterson,WAS,USA
Worthy Patterson,ATL,USA
Justin Patton,HOU,USA
Brandon Paul,SAS,USA
Chris Paul,GSW,USA
Charlie Paulk,SAC,USA
Jerry Paulson,SAC,USA
Billy Paultz,SAS,USA
Sasha Pavlovic,CLE,Montenegro
Jim Paxson,LAL,USA
Jim Paxson,POR,USA
John Paxson,CHI,USA
Johnny Payak,ATL,USA
Adreian Payne,MIN,USA
Cameron Payne,PHI,USA
Kenny Payne,PHI,USA
Tom Payne,ATL,USA
Elfrid Payton,PHX,USA
Gary Payton,OKC,USA
Mel Payton,NONE,USA
Gary Payton II,GSW,USA
George Pearcy,NONE,USA
Henry Pearcy,NONE,USA
Oleksiy Pecherov,WAS,Ukraine
Wiley Peck,SAS,USA
Anthony Peeler,MIN,USA
Nikola Pekovic,MIN,Montenegro
Jake Pelkington,NONE,USA
Norvel Pelle,UTA,Antigua and Barbuda
Sam Pellom,ATL,USA
Mike Penberthy,LAL,USA
Desmond Penigar,ORL,USA
Kirk Penney,LAC,USA
Mike Peplowski,SAC,USA
Will Perdue,CHI,USA
Kendrick Perkins,BOS,USA
Sam Perkins,DAL,USA
Warren Perkins,ATL,USA
Kosta Perovic,GSW,Serbia
London Perrantes,CLE,USA
Curtis Perry,PHX,USA
Elliot Perry,PHX,USA
Reggie Perry,POR,USA
Tim Perry,PHX,USA
Chuck Person,IND,USA
Wesley Person,CLE,USA
Alec Peters,PHX,USA
Jim Petersen,HOU,USA
Loy Petersen,CHI,USA
Bob Peterson,NYK,USA
Drew Peterson,BOS,USA
Ed Peterson,PHI,USA
Mel Peterson,WAS,USA
Morris Peterson,TOR,USA
Geoff Petrie,POR,USA
Johan Petro,OKC,France
Drazen Petrovic,BKN,Croatia
Filip Petrusev,SAC,Serbia
Richard Petruska,HOU,USA
Bob Pettit,ATL,USA
Roger Phegley,SAS,USA
Jack Phelan,NONE,USA
Jim Phelan,GSW,USA
Derrick Phelps,SAC,USA
Mike Phelps,OKC,USA
Andy Phillip,DET,USA
Tarik Phillip,WAS,USA
Eddie Phillips,BKN,USA
Gary Phillips,GSW,USA
Julian Phillips,CHI,USA
Bobby Phills,CLE,USA
Eric Piatkowski,LAC,USA
Jalen Pickett,DEN,USA
Jamorko Pickett,DEN,USA
Paul Pierce,BOS,USA
Ricky Pierce,MIL,USA
Stan Pietkiewicz,LAC,USA
Mickael Pietrus,GSW,France
John Pilch,LAL,USA
Ed Pinckney,BOS,USA
Kevinn Pinkney,BOS,USA
John Pinone,ATL,USA
Theo Pinson,DAL,USA
Dave Piontek,SAC,USA
Tom Piotrowski,POR,USA
Scottie Pippen,CHI,USA
Scotty Pippen Jr.,MEM,USA
Charlie Pittman,PHX,USA
Dexter Pittman,MIA,USA
Zoran Planinic,BKN,Croatia
Tibor Pleiss,UTA,Germany
Marshall Plumlee,NYK,USA
Mason Plumlee,LAC,USA
Miles Plumlee,PHX,USA
Gary Plummer,GSW,USA
Pavel Podkolzin,DAL,Russia
Brandin Podziemski,GSW,USA
Jakob Poeltl,TOR,Austria
Vincent Poirier,BOS,France
Aleksej Pokusevski,CHA,Serbia
Dwayne Polee,LAC,USA
Jim Pollard,LAL,USA
Scot Pollard,SAC,USA
Ralph Polson,GSW,USA
Olden Polynice,SAC,USA
Cliff Pondexter,CHI,USA
Quincy Pondexter,MEM,USA
Shamorie Ponds,TOR,USA
Yves Pons,MEM,France
Jordan Poole,WAS,USA
David Pope,SAC,USA
Mark Pope,MIL,USA
Dave Popson,BOS,USA
Ben Poquette,UTA,USA
Chris Porter,GSW,USA
Howard Porter,DET,USA
Jontay Porter,TOR,USA
Kevin Porter,WAS,USA
Terry Porter,POR,USA
Craig Porter Jr.,CLE,USA
Kevin Porter Jr.,HOU,USA
Michael Porter Jr.,DEN,USA
Otto Porter Jr.,TOR,USA
Bobby Portis,MIL,USA
Bob Portman,GSW,USA
Kristaps Porzingis,BOS,Latvia
James Posey,DEN,USA
Lavor Postell,NYK,USA
Vitaly Potapenko,BOS,Ukraine
Micah Potter,UTA,USA
Leon Powe,BOS,USA
Dwight Powell,DAL,Canada
Josh Powell,LAL,USA
Kasib Powell,MIA,USA
Myles Powell,PHI,USA
Norman Powell,LAC,USA
Roger Powell,UTA,USA
Alex Poythress,IND,USA
Paul Pressey,MIL,USA
Phil Pressey,BOS,USA
Dominic Pressley,WAS,USA
Harold Pressley,SAC,USA
Jason Preston,UTA,USA
AJ Price,IND,USA
Brent Price,WAS,USA
Jim Price,LAL,USA
Mark Price,CLE,USA
Mike Price,NYK,USA
Ronnie Price,UTA,USA
Tony Price,LAC,USA
Bob Priddy,NONE,USA
Pablo Prigioni,NYK,Argentina
Joshua Primo,LAC,Canada
Taurean Prince,LAL,USA
Tayshaun Prince,DET,USA
John Pritchard,NONE,USA
Kevin Pritchard,GSW,USA
Payton Pritchard,BOS,USA
Laron Profit,WAS,USA
Olivier-Maxence Prosper,DAL,Canada
Gabe Pruitt,BOS,USA
Joel Przybilla,POR,USA
Les Pugh,NONE,USA
Roy Pugh,GSW,USA
Anthony Pullard,MIL,USA
Jacob Pullen,PHI,USA
Rodney Purvis,ORL,USA
Don Putman,NONE,USA
Zhou Qi,HOU,China
Tim Quarterman,POR,USA
Trevelin Queen,ORL,USA
Neemias Queta,BOS,Portugal
Bob Quick,DET,USA
Immanuel Quickley,TOR,USA
Chris Quinn,MIA,USA
Brian Quinnett,NYK,USA
Lester Quinones,GSW,USA
Ivan Rabb,MEM,USA
Luke Rackley,CLE,USA
Howie Rader,NONE,USA
Mark Radford,OKC,USA
Wayne Radford,IND,USA
Dino Radja,BOS,Croatia
Vladimir Radmanovic,OKC,Serbia
Aleksandar Radojevic,UTA,Bosnia and Herzegovina
Frank Radovich,GSW,USA
Moe Radovich,GSW,USA
Miroslav Raduljica,MIL,Serbia
Ray Radziszewski,GSW,USA
Ray Ragelis,SAC,USA
Sherwin Raiken,NYK,USA
Ed Rains,SAS,USA
Igor Rakocevic,MIN,Serbia
Kurt Rambis,LAL,USA
Peter John Ramos,WAS,Puerto Rico
Cal Ramsey,NYK,USA
Frank Ramsey,BOS,USA
Jahmi'us Ramsey,TOR,USA
Ray Ramsey,NONE,USA
Mark Randall,MIN,USA
Chasson Randle,DEN,USA
Julius Randle,NYK,USA
Anthony Randolph,GSW,USA
Shavlik Randolph,PHI,USA
Zach Randolph,MEM,USA
Wally Rank,LAC,USA
Kelvin Ransey,BKN,USA
Sam Ranzino,SAC,USA
Blair Rasmussen,DEN,USA
Xavier Rathan-Mayes,MEM,Canada
George Ratkovicz,PHI,USA
Ed Ratleff,HOU,USA
Mike Ratliff,SAC,USA
Theo Ratliff,PHI,USA
Andy Rautins,NYK,USA
Leo Rautins,PHI,USA
Allan Ray,BOS,USA
Clifford Ray,GSW,USA
Don Ray,ATL,USA
Jamesearl Ray,DEN,USA
Jim Ray,PHI,USA
Craig Raymond,PHI,USA
Connie Rea,NONE,USA
Duop Reath,POR,South Sudan
